Car X: 244.19, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 20.60
Car X: 238.35, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 20.62
Car X: 232.52, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 20.63
Car X: 232.52, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 20.65
Car X: 226.67, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 20.67
Car X: 220.84, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 20.68
Car X: 215.00, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 20.70
Car X: 209.10, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 20.72
Car X: 203.26, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 20.73
Car X: 197.43, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 20.75
Car X: 191.60, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 20.77
Car X: 185.76, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 20.78
Car X: 179.93, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 20.80
Car X: 174.07, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 20.82
Car X: 168.23, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 20.84
Car X: 168.23, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 20.85
Car X: 162.40, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 20.87
Car X: 162.40, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 20.89
Car X: 162.40, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 20.90
Car X: 156.56, Car Y: 75.00, Rotation: 90.00, Floor: 1, simTime : 20.92
