Car X: 318.71, Car Y: 246.45, Rotation: -90.00, Floor: 0, simTime : 8.85
Car X: 311.21, Car Y: 246.45, Rotation: 90.00, Floor: 0, simTime : 8.87
Car X: 303.37, Car Y: 246.45, Rotation: 90.00, Floor: 0, simTime : 8.89
Car X: 295.87, Car Y: 246.45, Rotation: 90.00, Floor: 0, simTime : 8.90
Car X: 288.37, Car Y: 246.45, Rotation: 90.00, Floor: 0, simTime : 8.92
Car X: 288.37, Car Y: 246.45, Rotation: 90.00, Floor: 0, simTime : 8.94
Car X: 288.37, Car Y: 246.45, Rotation: 90.00, Floor: 0, simTime : 8.95
Car X: 288.37, Car Y: 246.45, Rotation: 90.00, Floor: 0, simTime : 8.97
Car X: 288.37, Car Y: 246.45, Rotation: 90.00, Floor: 0, simTime : 8.99
Car X: 288.37, Car Y: 246.45, Rotation: 90.00, Floor: 0, simTime : 9.00
Car X: 288.37, Car Y: 246.45, Rotation: 90.00, Floor: 0, simTime : 9.02
Car X: 288.37, Car Y: 246.45, Rotation: 90.00, Floor: 0, simTime : 9.04
Car X: 288.37, Car Y: 246.45, Rotation: 90.00, Floor: 0, simTime : 9.05
Car X: 288.37, Car Y: 246.45, Rotation: 90.00, Floor: 0, simTime : 9.07
Car X: 288.37, Car Y: 246.45, Rotation: 90.00, Floor: 0, simTime : 9.09
Car X: 288.37, Car Y: 246.45, Rotation: 90.00, Floor: 0, simTime : 9.10
Car X: 288.37, Car Y: 246.45, Rotation: 90.00, Floor: 0, simTime : 9.12
Car X: 288.37, Car Y: 246.45, Rotation: 90.00, Floor: 0, simTime : 9.14
